SpineBase_x, SpineBase_y, SpineBase_z, SpineBase_w,SpineMid_x, SpineMid_y, SpineMid_z, SpineMid_w,Neck_x, Neck_y, Neck_z, Neck_w,Head_x, Head_y, Head_z, Head_w,ShoulderLeft_x, ShoulderLeft_y, ShoulderLeft_z, ShoulderLeft_w,ElbowLeft_x, ElbowLeft_y, ElbowLeft_z, ElbowLeft_w,WristLeft_x, WristLeft_y, WristLeft_z, WristLeft_w,HandLeft_x, HandLeft_y, HandLeft_z, HandLeft_w,ShoulderRight_x, ShoulderRight_y, ShoulderRight_z, ShoulderRight_w,ElbowRight_x, ElbowRight_y, ElbowRight_z, ElbowRight_w,WristRight_x, WristRight_y, WristRight_z, WristRight_w,HandRight_x, HandRight_y, HandRight_z, HandRight_w,HipLeft_x, HipLeft_y, HipLeft_z, HipLeft_w,KneeLeft_x, KneeLeft_y, KneeLeft_z, KneeLeft_w,AnkleLeft_x, AnkleLeft_y, AnkleLeft_z, AnkleLeft_w,FootLeft_x, FootLeft_y, FootLeft_z, FootLeft_w,HipRight_x, HipRight_y, HipRight_z, HipRight_w,KneeRight_x, KneeRight_y, KneeRight_z, KneeRight_w,AnkleRight_x, AnkleRight_y, AnkleRight_z, AnkleRight_w,FootRight_x, FootRight_y, FootRight_z, FootRight_w,SpineShoulder_x, SpineShoulder_y, SpineShoulder_z, SpineShoulder_w,HandTipLeft_x, HandTipLeft_y, HandTipLeft_z, HandTipLeft_w,ThumbLeft_x, ThumbLeft_y, ThumbLeft_z, ThumbLeft_w,HandTipRight_x, HandTipRight_y, HandTipRight_z, HandTipRight_w,ThumbRight_x, ThumbRight_y, ThumbRight_z, ThumbRight_w,
-0.2066546,-0.9681627,-0.1407409,-0.01211876,-0.2080866,-0.9679876,-0.1386149,-0.02204372,-0.2066003,-0.9598011,-0.1851289,-0.04272389,0,0,0,0,0.6168128,-0.7701908,-0.124714,-0.1038961,0.582319,-0.6892452,0.3287444,0.2788776,-0.6552186,0.6631017,0.2451789,0.2662181,-0.6573005,0.6608945,0.2687885,0.2427492,-0.9330986,-0.3286646,-0.1376329,0.04861824,-0.9682935,0.1519219,0.160077,0.1170588,-0.08769603,0.6018149,0.4208958,0.6730341,-0.2338852,0.6297719,0.07460248,0.7369664,0.5175144,-0.8135275,-0.2645665,0.01887446,0.7068342,-0.1043844,0.6977193,0.05174038,0.685581,-0.1438521,0.7134493,0.01659389,0,0,0,0,-0.7724064,-0.585912,-0.2122808,-0.122606,-0.6794981,0.03153916,0.732451,-0.02834116,-0.733941,-0.01387852,0.6789923,0.01036247,0,0,0,0,-0.2081921,-0.9639992,-0.1610864,-0.03758907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2066546,-0.9681627,-0.1407409,-0.01211876,-0.2080866,-0.9679876,-0.1386149,-0.02204372,-0.2066003,-0.9598011,-0.1851289,-0.04272389,0,0,0,0,0.6168128,-0.7701908,-0.124714,-0.1038961,0.582319,-0.6892452,0.3287444,0.2788776,-0.6552186,0.6631017,0.2451789,0.2662181,-0.6573005,0.6608945,0.2687885,0.2427492,-0.9330986,-0.3286646,-0.1376329,0.04861824,-0.9682935,0.1519219,0.160077,0.1170588,-0.08769603,0.6018149,0.4208958,0.6730341,-0.2338852,0.6297719,0.07460248,0.7369664,0.5175144,-0.8135275,-0.2645665,0.01887446,0.7068342,-0.1043844,0.6977193,0.05174038,0.685581,-0.1438521,0.7134493,0.01659389,0,0,0,0,-0.7724064,-0.585912,-0.2122808,-0.122606,-0.6794981,0.03153916,0.732451,-0.02834116,-0.733941,-0.01387852,0.6789923,0.01036247,0,0,0,0,-0.2081921,-0.9639992,-0.1610864,-0.03758907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2054775,-0.9684654,-0.1403884,-0.01203021,-0.206956,-0.9682832,-0.1381996,-0.02230844,-0.2052574,-0.9602832,-0.1840053,-0.04321594,0,0,0,0,0.6183095,-0.7692109,-0.1236989,-0.103472,0.5581532,-0.6645413,0.3757694,0.3250341,-0.6247232,0.6345224,0.3137651,0.3296267,-0.6611229,0.5939379,0.348003,0.2984094,-0.9325078,-0.3304054,-0.1378822,0.0474329,-0.9669176,0.1603961,0.1615975,0.1150208,-0.09304637,0.6104495,0.4197468,0.6652117,-0.2531633,0.6275421,0.0706333,0.732878,0.5182677,-0.8131502,-0.2642106,0.01944496,0.707648,-0.09768099,0.6981494,0.04775156,0.6855907,-0.1376793,0.7147436,0.01230314,0,0,0,0,-0.7718249,-0.5866313,-0.212337,-0.1227316,-0.6801999,0.02967092,0.7318873,-0.02808492,-0.7342833,-0.01576448,0.6785739,0.01081615,0,0,0,0,-0.2071554,-0.9643437,-0.1602365,-0.03810472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2049212,-0.9686569,-0.1398701,-0.01214774,-0.2064314,-0.9684672,-0.1376315,-0.0226895,-0.2036368,-0.960899,-0.1824378,-0.04383467,0,0,0,0,0.6201113,-0.7681063,-0.1217502,-0.1032062,0.574689,-0.6775173,0.3512389,0.2955236,-0.6702907,0.6686226,0.2264123,0.2288925,-0.6656502,0.6732135,0.2351619,0.2199823,-0.9318885,-0.3323185,-0.1377934,0.04648934,-0.9681288,0.152986,0.161133,0.1155773,-0.09385537,0.6116385,0.4195865,0.6641058,0.2609704,-0.6339387,-0.0641755,-0.7251881,0.5187449,-0.8129514,-0.26385,0.01992025,0.7069728,-0.1015437,0.698112,0.05018113,0.6848457,-0.1412276,0.7147146,0.01497145,0,0,0,0,-0.7716028,-0.5868718,-0.2122513,-0.123126,-0.6801619,0.03081735,0.7318647,-0.02835654,-0.7345712,-0.01462022,0.6782939,0.01042768,0,0,0,0,-0.2060493,-0.9647664,-0.1589679,-0.03871416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2037487,-0.968932,-0.1397144,-0.01170957,-0.2054283,-0.9687187,-0.1372328,-0.02346078,-0.2019143,-0.9613258,-0.1815934,-0.04590425,0,0,0,0,0.6248798,-0.7653242,-0.09278251,-0.1232698,0.5635371,-0.6458588,0.3824339,0.3450172,-0.6661256,0.6748013,0.2299996,0.2191349,-0.6577914,0.6777127,0.2880004,0.1583401,-0.9328654,-0.3282279,-0.1276486,0.07572585,-0.9697401,0.1401551,0.1779115,0.09114979,-0.09610022,0.6152318,0.4190727,0.6607819,0.2784284,-0.6301839,-0.04934951,-0.7231255,0.5203143,-0.8120099,-0.2636417,0.02015301,0.7094066,-0.08129159,0.6991627,0.0361333,0.6854336,-0.1225068,0.7177554,0.0001657332,0,0,0,0,-0.7703763,-0.5887552,-0.2117777,-0.1226288,-0.679863,0.02915979,0.7321252,-0.03047268,-0.7351343,-0.01644554,0.6776695,0.008434965,0,0,0,0,-0.204704,-0.9651296,-0.1579944,-0.04072955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2026795,-0.9692497,-0.1391233,-0.01098624,-0.2043451,-0.9690464,-0.1366651,-0.02269218,-0.2000525,-0.9618635,-0.1809973,-0.04514042,0,0,0,0,0.6262615,-0.7643153,-0.08770804,-0.1261978,0.5573786,-0.6332026,0.399609,0.3587426,-0.673375,0.6753021,0.228577,0.1956672,0.6420301,-0.6997591,-0.2838235,-0.1325847,-0.9327079,-0.3284534,-0.1243377,0.08194244,-0.9697904,0.1388462,0.1805434,0.08736327,-0.1029138,0.6259691,0.4174505,0.65062,0.2989854,-0.6270373,-0.05379752,-0.7173129,0.5212626,-0.8114429,-0.2634394,0.0211049,0.7099696,-0.0769573,0.6992987,0.03165439,0.6858948,-0.1186069,0.7179551,-0.004594195,0,0,0,0,-0.7697812,-0.5898462,-0.2111075,-0.122279,-0.6793242,0.03026192,0.7325708,-0.03070305,-0.73467,-0.01537216,0.6782028,0.008050322,0,0,0,0,-0.2029061,-0.965653,-0.1573055,-0.03997933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2008139,-0.969721,-0.1387008,-0.00878313,-0.2025335,-0.9695352,-0.1361775,-0.02091487,-0.196642,-0.9627922,-0.1800971,-0.04391079,0,0,0,0,0.6288314,-0.7623801,-0.08536898,-0.1267269,0.5124334,-0.5916459,0.4649632,0.4137346,-0.6767054,0.6884375,0.2220943,0.1371056,0.6462603,-0.7031562,-0.2908095,-0.05786894,-0.9320863,-0.3303998,-0.1216283,0.08519147,-0.9589907,0.137998,0.2392702,0.06358691,0.02777199,0.637619,0.2416928,0.7309276,-0.1167451,0.6616874,-0.0271232,0.7401383,0.5226216,-0.8104579,-0.2636446,0.02271663,0.709183,-0.09147415,0.6980886,0.03693344,0.6856541,-0.1318541,0.7158844,0.001554575,0,0,0,0,-0.7688837,-0.5919448,-0.2096484,-0.1202781,-0.6777014,0.03193171,0.7339953,-0.03085616,-0.7339015,-0.01377933,0.6790733,0.007623471,0,0,0,0,-0.1999208,-0.9664759,-0.156383,-0.03873566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.198755,-0.9703189,-0.1375923,-0.006794646,-0.2004884,-0.970154,-0.135054,-0.01913152,-0.1943764,-0.9634592,-0.1793626,-0.04234856,0,0,0,0,0.6309581,-0.7608066,-0.08452973,-0.1261749,0.5054577,-0.5730597,0.4790824,0.4319666,-0.6626893,0.6843669,0.2615395,0.1551838,0.6090921,-0.7019324,-0.3684277,-0.02363613,-0.9313713,-0.3327734,-0.1193194,0.08702005,-0.9618915,0.1251129,0.2344932,0.06422184,0.01447879,0.6377072,0.2633752,0.7237083,-0.172032,0.6506245,-0.06022467,0.7372015,0.5245522,-0.8091167,-0.2637305,0.02492927,-0.7104838,0.08968395,-0.6970758,-0.03542597,0.6867412,-0.1299807,0.7151865,0.0001045748,0,0,0,0,-0.7679338,-0.5938723,-0.208192,-0.1193721,-0.6756934,0.03568057,0.7356222,-0.03202063,-0.7328606,-0.01013103,0.6802773,0.005952285,0,0,0,0,-0.1974739,-0.9671881,-0.1554529,-0.03722692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1748361,-0.9776126,-0.1170649,0.001404671,-0.1759813,-0.9775789,-0.1153362,-0.00822992,-0.1604005,-0.974701,-0.1532695,-0.02717222,0,0,0,0,0.650431,-0.7460943,-0.1279782,-0.06248506,0.5037788,-0.5481136,0.492986,0.4502703,0.6494349,-0.6844338,-0.3058812,-0.1273632,0.5667291,-0.710568,-0.4152894,0.03802694,-0.9210555,-0.3706292,-0.117726,0.02076993,-0.3038229,0.006329021,0.9432272,0.134067,-0.3163437,-0.9264987,-0.09937651,-0.1779077,0.4725712,-0.6948048,0.05146183,-0.5396984,0.5388691,-0.8022019,-0.2521101,0.05032628,-0.7134327,0.07970648,-0.6955759,-0.02889467,0.6940675,-0.1206621,0.7096817,-0.007922657,0,0,0,0,-0.7654011,-0.6011325,-0.1965992,-0.1189521,-0.6736789,0.0503681,0.7364444,-0.03563182,-0.7240558,0.00447203,0.6897267,0.0006226915,0,0,0,0,-0.1643465,-0.977264,-0.1319419,-0.02316424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1711721,-0.9783109,-0.1166235,0.002646091,-0.1724254,-0.9782821,-0.1147624,-0.007951898,-0.1621754,-0.9738858,-0.1564426,-0.02777277,0,0,0,0,0.6520752,-0.7448643,-0.1234059,-0.06889282,0.4962288,-0.5302457,0.5072746,0.463971,0.6449757,-0.6899377,-0.3125716,-0.1014463,0.5506931,-0.7060908,-0.4353164,0.09312615,-0.9187931,-0.375535,-0.11827,0.02837207,-0.3024844,0.003220237,0.9414608,0.1488096,-0.3465049,-0.9043079,-0.08756044,-0.2334412,0.4430147,-0.7745169,0.152597,-0.4249422,0.5435004,-0.799051,-0.2519636,0.05137348,-0.7142299,0.07945906,-0.6947641,-0.02941089,0.6945337,-0.1202733,0.7092982,-0.007301577,0,0,0,0,-0.7626068,-0.6050432,-0.1960206,-0.1180232,-0.6717898,0.05607357,0.7375941,-0.0388505,-0.7237306,0.01007186,0.6900013,-0.003309847,0,0,0,0,-0.1650095,-0.9768003,-0.1344122,-0.02380195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
