SpineBase_x, SpineBase_y, SpineBase_z, SpineBase_w,SpineMid_x, SpineMid_y, SpineMid_z, SpineMid_w,Neck_x, Neck_y, Neck_z, Neck_w,Head_x, Head_y, Head_z, Head_w,ShoulderLeft_x, ShoulderLeft_y, ShoulderLeft_z, ShoulderLeft_w,ElbowLeft_x, ElbowLeft_y, ElbowLeft_z, ElbowLeft_w,WristLeft_x, WristLeft_y, WristLeft_z, WristLeft_w,HandLeft_x, HandLeft_y, HandLeft_z, HandLeft_w,ShoulderRight_x, ShoulderRight_y, ShoulderRight_z, ShoulderRight_w,ElbowRight_x, ElbowRight_y, ElbowRight_z, ElbowRight_w,WristRight_x, WristRight_y, WristRight_z, WristRight_w,HandRight_x, HandRight_y, HandRight_z, HandRight_w,HipLeft_x, HipLeft_y, HipLeft_z, HipLeft_w,KneeLeft_x, KneeLeft_y, KneeLeft_z, KneeLeft_w,AnkleLeft_x, AnkleLeft_y, AnkleLeft_z, AnkleLeft_w,FootLeft_x, FootLeft_y, FootLeft_z, FootLeft_w,HipRight_x, HipRight_y, HipRight_z, HipRight_w,KneeRight_x, KneeRight_y, KneeRight_z, KneeRight_w,AnkleRight_x, AnkleRight_y, AnkleRight_z, AnkleRight_w,FootRight_x, FootRight_y, FootRight_z, FootRight_w,SpineShoulder_x, SpineShoulder_y, SpineShoulder_z, SpineShoulder_w,HandTipLeft_x, HandTipLeft_y, HandTipLeft_z, HandTipLeft_w,ThumbLeft_x, ThumbLeft_y, ThumbLeft_z, ThumbLeft_w,HandTipRight_x, HandTipRight_y, HandTipRight_z, HandTipRight_w,ThumbRight_x, ThumbRight_y, ThumbRight_z, ThumbRight_w,
-0.1535604,-0.9699948,-0.1812317,-0.05181061,-0.152728,-0.9702222,-0.1819338,-0.0473632,-0.1393956,-0.9608435,-0.2335902,-0.05276654,0,0,0,0,0.6329646,-0.7464921,-0.1154898,-0.1696101,-0.8607385,0.328383,-0.3785625,0.08935539,0.4923281,-0.00720655,0.8688839,0.05100722,0.4707686,-0.1726425,0.8651477,-0.009541542,-0.8778329,-0.4332357,-0.1660493,0.1189284,-0.5103497,0.00260256,0.8349809,-0.2057753,0.476613,0.3388911,0.8074416,-0.07765983,-0.4345302,-0.6223553,-0.646019,0.08072656,0.5451648,-0.8037675,-0.2340095,-0.04464054,-0.9942154,-0.1021001,-0.01868827,0.02760661,0.4686595,-0.4317376,0.5870509,0.4993319,0,0,0,0,-0.7529892,-0.5991279,-0.2608249,-0.07761005,-0.6827387,0.2571847,0.6838001,0.01189198,-0.6861283,0.2258188,0.690468,0.03857408,0,0,0,0,-0.1441358,-0.9666229,-0.2063141,-0.04795465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1529288,-0.9702225,-0.1805033,-0.05195889,-0.1521139,-0.9704468,-0.1811905,-0.04758662,-0.1392744,-0.960853,-0.2335643,-0.05302824,0,0,0,0,0.6335064,-0.7460998,-0.1150177,-0.169634,-0.8598579,0.3288143,-0.3801853,0.08935802,0.4936445,-0.007412391,0.8680904,0.05176182,0.4720251,-0.1727692,0.8644493,-0.008397652,-0.8777679,-0.4334359,-0.1661339,0.11856,-0.5116204,0.002495378,0.8341126,-0.2061421,0.4660176,0.338214,0.8135068,-0.08152029,-0.4289873,-0.6205915,-0.650039,0.09102456,0.545778,-0.8035766,-0.2333191,-0.04419402,-0.9939777,-0.1062393,-0.01124947,0.02439177,0.4647158,-0.431692,0.5782034,0.5131884,0,0,0,0,-0.7527521,-0.5995335,-0.2604781,-0.07794339,-0.6829731,0.25686,0.683713,0.01034484,-0.6866894,0.2255565,0.6900882,0.03688302,0,0,0,0,-0.1437886,-0.9667134,-0.2060621,-0.04825469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1523954,-0.9703718,-0.1800508,-0.05230538,-0.1515708,-0.9706008,-0.1807455,-0.04786981,-0.1391291,-0.9608672,-0.2335559,-0.05318985,0,0,0,0,0.6334013,-0.7462109,-0.1148307,-0.1696647,-0.8542109,0.3286753,-0.3940069,0.08399352,0.4363097,-0.06573279,0.8938517,0.07963851,0.4354133,-0.06726924,0.8975479,0.0172609,-0.8776758,-0.433642,-0.1661865,0.1184143,-0.5123771,0.00256621,0.8335323,-0.2066085,0.4794735,0.3395254,0.8056744,-0.0756067,-0.4409035,-0.6237864,-0.6408932,0.07583207,0.5463591,-0.8033461,-0.2327833,-0.04403181,-0.9937033,-0.1092975,-0.01040571,0.02235379,0.4628387,-0.4326811,0.5758468,0.5166894,0,0,0,0,-0.7524447,-0.5998638,-0.2604697,-0.07839587,-0.6840472,0.2598125,0.6813621,0.01796287,-0.6844651,0.2281961,0.6908902,0.0458806,0,0,0,0,-0.1435175,-0.9667714,-0.2059353,-0.04844089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1519602,-0.9705377,-0.1795085,-0.05235732,-0.1511399,-0.9707664,-0.1801997,-0.04793058,-0.1391723,-0.9608376,-0.2336431,-0.0532271,0,0,0,0,0.633822,-0.7458771,-0.1148304,-0.1695614,-0.85962,0.3276782,-0.3817248,0.08925556,0.4891182,-0.007427385,0.8706347,0.05199587,0.4683692,-0.169189,0.8671641,-0.005657543,-0.8776751,-0.4336732,-0.1662958,0.1181518,-0.5127789,0.002790679,0.8331867,-0.2070023,0.4827282,0.3397242,0.803791,-0.07403354,-0.4436597,-0.625043,-0.6385324,0.06902099,0.5470684,-0.8030166,-0.2323107,-0.04373038,-0.9936159,-0.1105463,-0.008539861,0.02083864,0.4619233,-0.4325262,0.573783,0.5199241,0,0,0,0,-0.7519469,-0.6005851,-0.2601193,-0.07881144,-0.684339,0.2588996,0.6814377,0.01714405,-0.6850604,0.2272931,0.6906595,0.04494267,0,0,0,0,-0.1434109,-0.9667932,-0.2058925,-0.04850143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1515674,-0.9706548,-0.179213,-0.05233895,-0.1507882,-0.9708728,-0.1798691,-0.04812595,-0.139173,-0.9608375,-0.2335591,-0.05359297,0,0,0,0,0.6338053,-0.7459147,-0.1143761,-0.1697657,-0.8598278,0.3263133,-0.3826095,0.08846299,0.4953253,-0.006075013,0.8671331,0.05192386,0.474684,-0.1665133,0.8642132,-0.009172489,-0.8776262,-0.4337681,-0.1664842,0.1179008,-0.5128311,0.003007534,0.8330975,-0.2072293,-0.7100977,-0.3458803,-0.6122246,-0.03618278,-0.4533053,-0.6268886,-0.6313747,0.05376893,0.5473998,-0.8028641,-0.2321148,-0.04342209,-0.9935883,-0.1109601,-0.008147202,0.02009463,0.4612825,-0.4329568,0.5727877,0.5212305,0,0,0,0,-0.751784,-0.600812,-0.2600159,-0.07897938,-0.684462,0.2585923,0.6814476,0.01646327,-0.6855449,0.2270193,0.6903213,0.04412478,0,0,0,0,-0.1433229,-0.9668185,-0.2057447,-0.04888642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1513069,-0.9707257,-0.1788696,-0.05295022,-0.1504797,-0.9709597,-0.179566,-0.04846917,-0.1390485,-0.9609062,-0.2333486,-0.0536023,0,0,0,0,0.6337344,-0.7460279,-0.1143227,-0.1695686,-0.8537352,0.3258824,-0.3975993,0.08277539,0.4305681,-0.06228593,0.896863,0.07980211,0.4312553,-0.05459001,0.9004157,0.01704053,-0.8775863,-0.4339384,-0.1664131,0.1176721,-0.5129512,0.003173542,0.8329793,-0.2074045,0.4520366,0.3368427,0.821404,-0.0865761,-0.4119462,-0.622815,-0.6590011,0.09010856,0.5472926,-0.8030854,-0.2316128,-0.04336193,-0.9935982,-0.1109901,-0.007521873,0.01968041,0.4606399,-0.4326107,0.5723611,0.5225532,0,0,0,0,-0.7517989,-0.6006272,-0.2602439,-0.07948842,-0.68494,0.2581546,0.6811507,0.01572425,-0.6858602,0.2265821,0.6901951,0.04344149,0,0,0,0,-0.1431606,-0.9668861,-0.2055338,-0.04891058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1510799,-0.9708064,-0.1786362,-0.05290576,-0.1502704,-0.9710357,-0.1793177,-0.04851457,-0.1390328,-0.9609357,-0.2332128,-0.05370682,0,0,0,0,0.6337993,-0.746015,-0.114131,-0.1695124,-0.8574187,0.3249831,-0.3896515,0.08597098,0.3691525,-0.108058,0.9178948,0.09756644,0.3827199,-0.008356422,0.9230524,0.03781284,-0.8775969,-0.4339736,-0.1664117,0.1174633,-0.5134254,0.003149527,0.8326516,-0.2075472,0.4635995,0.3375942,0.8151261,-0.08170153,-0.4224138,-0.6255032,-0.6505148,0.08451695,0.5475273,-0.8029713,-0.2315018,-0.04310497,-0.9934918,-0.1121234,-0.007099476,0.01876248,0.4602923,-0.4328817,0.5715469,0.5235252,0,0,0,0,-0.7517083,-0.6007679,-0.2601366,-0.0796339,-0.6848701,0.2579447,0.6813297,0.01439778,-0.6862082,0.2264416,0.6899887,0.04193176,0,0,0,0,-0.1430873,-0.9669268,-0.2053656,-0.04902858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1509357,-0.9708737,-0.17838,-0.05294769,-0.1501282,-0.971103,-0.1790601,-0.04856035,-0.1391276,-0.9609132,-0.2332408,-0.05374127,0,0,0,0,0.6337612,-0.7460459,-0.1140593,-0.1695663,-0.859032,0.3242767,-0.3863872,0.08725628,0.5034797,-0.0009313705,0.8624399,0.05200776,0.4836186,-0.1589348,0.8606214,-0.01354655,-0.8775548,-0.4340496,-0.1664404,0.1174569,-0.5143372,0.003008498,0.8320446,-0.207726,0.3735149,0.3269438,0.8601652,-0.1170911,-0.3448789,-0.6107655,-0.6965412,0.1511778,0.5477129,-0.8029084,-0.2313144,-0.04292332,-0.9934286,-0.1128852,-0.005930578,0.01792676,0.4606293,-0.4316852,0.5715878,0.5241717,0,0,0,0,-0.7516384,-0.6008762,-0.2600268,-0.07983556,-0.6850227,0.2569243,0.6815796,0.01353588,-0.6868241,0.225425,0.6897709,0.04089395,0,0,0,0,-0.143126,-0.966921,-0.2053553,-0.04907086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1505713,-0.9709443,-0.178191,-0.05332342,-0.1497433,-0.9711812,-0.1788874,-0.04882001,-0.1390163,-0.9609544,-0.2331224,-0.05380734,0,0,0,0,0.6336311,-0.7461747,-0.1138592,-0.1696207,-0.8591636,0.324063,-0.3863424,0.08695223,0.5116121,-0.001225774,0.8576339,0.05211277,0.4916616,-0.1594144,0.8559569,-0.01392248,-0.8775154,-0.4341505,-0.1663634,0.1174873,-0.5144102,0.003100095,0.8319647,-0.2078642,0.4062088,0.3313186,0.8451748,-0.1044119,-0.3690255,-0.6155231,-0.6842304,0.1295389,0.5480244,-0.8028031,-0.2309301,-0.04298473,-0.9967458,-0.0571777,0.03625666,0.04374954,0.4745199,-0.4085198,0.5514657,0.5512059,0,0,0,0,-0.7513957,-0.6010752,-0.2601735,-0.08014283,-0.6854557,0.2569762,0.6811166,0.01392596,-0.6868122,0.2254411,0.6897439,0.04145794,0,0,0,0,-0.1430009,-0.9669588,-0.2052464,-0.04914607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1504631,-0.9709988,-0.1779749,-0.05336013,-0.1496377,-0.9712353,-0.1786695,-0.04886525,-0.1391293,-0.9609418,-0.2330993,-0.05383893,0,0,0,0,0.6336326,-0.7461789,-0.1136089,-0.1697638,-0.858759,0.3235684,-0.3877526,0.08651279,0.5123297,-0.002544396,0.8571447,0.05305571,0.491629,-0.1614575,0.8555335,-0.01717342,-0.877492,-0.4341936,-0.1662843,0.117615,-0.515598,0.002806737,0.8311799,-0.2080643,0.4027986,0.3305892,0.8469669,-0.1054088,-0.3771784,-0.6150591,-0.6773388,0.1437051,0.548083,-0.8028179,-0.2307716,-0.04281471,-0.9967831,-0.05430733,0.03812479,0.04495211,0.4749118,-0.4082098,0.5497089,0.5528507,0,0,0,0,-0.7514152,-0.6010692,-0.2600904,-0.08027516,-0.6856241,0.2578011,0.6806022,0.01545749,-0.6862789,0.2262096,0.689911,0.04328259,0,0,0,0,-0.1430654,-0.9669575,-0.2051982,-0.04918476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
