SpineBase_x, SpineBase_y, SpineBase_z, SpineBase_w,SpineMid_x, SpineMid_y, SpineMid_z, SpineMid_w,Neck_x, Neck_y, Neck_z, Neck_w,Head_x, Head_y, Head_z, Head_w,ShoulderLeft_x, ShoulderLeft_y, ShoulderLeft_z, ShoulderLeft_w,ElbowLeft_x, ElbowLeft_y, ElbowLeft_z, ElbowLeft_w,WristLeft_x, WristLeft_y, WristLeft_z, WristLeft_w,HandLeft_x, HandLeft_y, HandLeft_z, HandLeft_w,ShoulderRight_x, ShoulderRight_y, ShoulderRight_z, ShoulderRight_w,ElbowRight_x, ElbowRight_y, ElbowRight_z, ElbowRight_w,WristRight_x, WristRight_y, WristRight_z, WristRight_w,HandRight_x, HandRight_y, HandRight_z, HandRight_w,HipLeft_x, HipLeft_y, HipLeft_z, HipLeft_w,KneeLeft_x, KneeLeft_y, KneeLeft_z, KneeLeft_w,AnkleLeft_x, AnkleLeft_y, AnkleLeft_z, AnkleLeft_w,FootLeft_x, FootLeft_y, FootLeft_z, FootLeft_w,HipRight_x, HipRight_y, HipRight_z, HipRight_w,KneeRight_x, KneeRight_y, KneeRight_z, KneeRight_w,AnkleRight_x, AnkleRight_y, AnkleRight_z, AnkleRight_w,FootRight_x, FootRight_y, FootRight_z, FootRight_w,SpineShoulder_x, SpineShoulder_y, SpineShoulder_z, SpineShoulder_w,HandTipLeft_x, HandTipLeft_y, HandTipLeft_z, HandTipLeft_w,ThumbLeft_x, ThumbLeft_y, ThumbLeft_z, ThumbLeft_w,HandTipRight_x, HandTipRight_y, HandTipRight_z, HandTipRight_w,ThumbRight_x, ThumbRight_y, ThumbRight_z, ThumbRight_w,
-0.1809195,-0.9697803,-0.1597916,-0.03550876,-0.1810337,-0.9697547,-0.1596621,-0.03620252,-0.1688976,-0.9580515,-0.2258915,-0.05083318,0,0,0,0,0.6460284,-0.7397592,-0.1304273,-0.1356183,-0.8318625,0.3999525,-0.3749031,0.08654752,-0.9625592,0.08411447,0.2574573,-0.01097092,-0.827162,-0.2496028,0.4057758,-0.2980732,-0.9009675,-0.3931751,-0.1671079,0.07580207,-0.5155382,0.0687607,0.8286536,-0.2069432,-0.01537614,0.3427734,0.9114822,-0.2268706,0.0317286,0.3005744,0.890864,-0.3391307,0.4924841,-0.8389786,-0.2308818,-0.01637203,-0.7400695,-0.1637469,-0.6516992,-0.02778992,0.6479766,0.1381226,0.7487559,-0.02032021,0,0,0,0,-0.8191536,-0.5175616,-0.2391879,-0.06250289,0.6607468,-0.03331209,0.7286345,-0.1771885,-0.4973941,0.4453853,0.6816223,-0.2993693,0,0,0,0,-0.1736472,-0.9646576,-0.193173,-0.04434622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1809195,-0.9697803,-0.1597916,-0.03550876,-0.1810337,-0.9697547,-0.1596621,-0.03620252,-0.1688976,-0.9580515,-0.2258915,-0.05083318,0,0,0,0,0.6460284,-0.7397592,-0.1304273,-0.1356183,-0.8318625,0.3999525,-0.3749031,0.08654752,-0.9625592,0.08411447,0.2574573,-0.01097092,-0.827162,-0.2496028,0.4057758,-0.2980732,-0.9009675,-0.3931751,-0.1671079,0.07580207,-0.5155382,0.0687607,0.8286536,-0.2069432,-0.01537614,0.3427734,0.9114822,-0.2268706,0.0317286,0.3005744,0.890864,-0.3391307,0.4924841,-0.8389786,-0.2308818,-0.01637203,-0.7400695,-0.1637469,-0.6516992,-0.02778992,0.6479766,0.1381226,0.7487559,-0.02032021,0,0,0,0,-0.8191536,-0.5175616,-0.2391879,-0.06250289,0.6607468,-0.03331209,0.7286345,-0.1771885,-0.4973941,0.4453853,0.6816223,-0.2993693,0,0,0,0,-0.1736472,-0.9646576,-0.193173,-0.04434622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1805539,-0.9696741,-0.1612086,-0.03382692,-0.1808228,-0.9696162,-0.1609069,-0.03544602,-0.1701347,-0.9587766,-0.2220572,-0.04992334,0,0,0,0,0.6504316,-0.7365795,-0.1272236,-0.1349203,-0.8305109,0.4021773,-0.3751488,0.0881388,-0.96218,0.08340438,0.2590797,-0.01145608,-0.8287947,-0.2465971,0.404756,-0.2974253,-0.9029588,-0.3896791,-0.1644116,0.07605588,-0.5202538,0.06734667,0.8258001,-0.2070133,0.03582202,0.3544388,0.9117481,-0.2044636,0.08506022,0.3305644,0.8812756,-0.326872,0.4878936,-0.841359,-0.2320161,-0.0156047,-0.7408646,-0.1621855,-0.6512056,-0.02732726,0.6484321,0.1364243,0.7486615,-0.02074209,0,0,0,0,-0.8171088,-0.5216626,-0.2379164,-0.05997746,0.6602659,-0.03277369,0.7288153,-0.1783343,-0.4968745,0.4468617,0.6809255,-0.299618,0,0,0,0,-0.1748084,-0.9648333,-0.1913722,-0.04376569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1805406,-0.9696302,-0.1615131,-0.03370427,-0.1808105,-0.9695724,-0.1612109,-0.03532606,-0.1707254,-0.958908,-0.2211347,-0.04947575,0,0,0,0,0.651795,-0.7355154,-0.1266251,-0.1347089,-0.8302695,0.4027356,-0.3749415,0.08874456,-0.9664678,0.0832606,0.2426149,-0.01207372,-0.826611,-0.2543418,0.3965948,-0.3077939,-0.9035161,-0.3886462,-0.1637086,0.07623759,-0.5202332,0.06747752,0.8258547,-0.2068053,0.03426195,0.3521392,0.9127632,-0.2041755,0.0824133,0.3477137,0.8742501,-0.3286184,0.4868375,-0.841931,-0.2321609,-0.01558196,-0.7409284,-0.1617998,-0.6512218,-0.02749874,0.6486068,0.1360557,0.7485836,-0.02051074,0,0,0,0,-0.8165258,-0.522678,-0.2377716,-0.05964971,-0.634141,0.06098437,0.7488232,-0.1827839,-0.759426,0.006161039,0.6273941,-0.1720779,0,0,0,0,-0.1752009,-0.9648345,-0.1910769,-0.04345853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.176517,-0.9633394,-0.1940517,-0.05624066,-0.1754132,-0.963643,-0.19505,-0.05077408,-0.1712348,-0.9583355,-0.2230348,-0.05027092,0,0,0,0,0.651402,-0.7335206,-0.1336372,-0.1405851,-0.8301283,0.4031053,-0.3747114,0.08935708,-0.9676867,0.08296904,0.237813,-0.01199458,-0.827899,-0.2517177,0.3918978,-0.3124703,-0.9021668,-0.387518,-0.1724752,0.07859475,-0.5232456,0.06658804,0.8240021,-0.2068829,0.03300474,0.3541624,0.9120996,-0.203848,0.08105926,0.3320677,0.8823267,-0.3235122,0.4746635,-0.8447959,-0.2422685,-0.0481717,-0.7369957,-0.1765135,-0.6488571,-0.06829958,0.6344675,0.1585794,0.756321,0.01679693,0,0,0,0,-0.8032378,-0.527677,-0.2717325,-0.05027524,-0.6262619,0.1063861,0.7447823,-0.2043954,-0.7673225,0.036387,0.6088226,-0.1980585,0,0,0,0,-0.1730025,-0.9631821,-0.2005412,-0.04619286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2027946,-0.9584974,-0.1907876,-0.06129608,-0.2000558,-0.9592733,-0.1936576,-0.04763367,-0.1842803,-0.9532391,-0.2354145,-0.04422585,0,0,0,0,0.6394295,-0.7392331,-0.1529397,-0.1458551,-0.8325073,0.3970833,-0.3769561,0.08462066,-0.9493318,0.08556485,0.3023069,-0.007632142,-0.7929296,-0.2247209,0.4542995,-0.338194,-0.8920431,-0.4037263,-0.1842596,0.08551358,-0.5207099,0.06717907,0.8236345,-0.2144161,-0.01083685,0.3430062,0.9118658,-0.2252334,0.02380089,0.3253784,0.8929424,-0.3101875,0.4552248,-0.8568769,-0.2346464,-0.05893603,-0.7491805,-0.2046843,-0.6277865,-0.05212437,0.6238763,0.1875211,0.7586559,-0.007441295,0,0,0,0,-0.8163761,-0.5105067,-0.2648407,-0.05265271,-0.5940936,0.09639094,0.7618094,-0.2395996,-0.7707206,0.006991359,0.5931882,-0.2325265,0,0,0,0,-0.1919516,-0.9566625,-0.2155469,-0.03861227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1444583,-0.9631166,-0.2214956,-0.04977946,-0.1447328,-0.9630541,-0.2213163,-0.05097345,-0.1762729,-0.9531653,-0.2411068,-0.0476583,0,0,0,0,0.632231,-0.7408645,-0.1647762,-0.1557322,-0.8335218,0.3936167,-0.3790376,0.08147318,-0.9624884,0.08678424,0.256752,-0.01277039,-0.8251846,-0.2548123,0.4089981,-0.2947229,-0.8877507,-0.4054213,-0.1986612,0.0898101,-0.5199512,0.06752709,0.8234143,-0.2169788,-0.04687965,0.3342235,0.9101287,-0.2403389,-0.01205815,0.3035536,0.8971131,-0.3207773,0.5002031,-0.8228844,-0.2639323,-0.05475248,-0.7352817,-0.1969362,-0.6388218,-0.1117307,0.6179746,0.1894953,0.7611099,0.05395105,0,0,0,0,-0.7734541,-0.5638758,-0.2882893,-0.02650053,-0.623711,0.1569067,0.7356746,-0.2124799,-0.7694669,0.08442373,0.5938311,-0.2194497,0,0,0,0,-0.1742213,-0.9564741,-0.2294863,-0.046263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1474332,-0.9636048,-0.2178134,-0.04781885,-0.1478291,-0.9635162,-0.2175448,-0.04957136,-0.1711643,-0.9531003,-0.244594,-0.04976416,0,0,0,0,0.62833,-0.7432168,-0.1681748,-0.1566761,-0.8346851,0.3915225,-0.37889,0.08033161,-0.9642534,0.08647904,0.2500923,-0.01380684,-0.8240933,-0.2607187,0.4060299,-0.2967082,-0.886113,-0.4074983,-0.2019268,0.0893008,-0.5178042,0.06811602,0.8244285,-0.2180746,0.002281955,0.3462838,0.9111062,-0.2235346,0.03345918,0.3268596,0.8962846,-0.2978544,0.5009785,-0.8229728,-0.262691,-0.05224691,-0.7376704,-0.1988756,-0.6354551,-0.1117483,0.6171095,0.1918414,0.7613218,0.0525546,0,0,0,0,-0.7746371,-0.563998,-0.2845531,-0.02954721,-0.6209257,0.1574156,0.73782,-0.2128225,-0.7693685,0.08396168,0.5936999,-0.2203246,0,0,0,0,-0.168712,-0.9568687,-0.2315239,-0.04832541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.1489522,-0.9638162,-0.2160262,-0.04695115,-0.1493966,-0.9637175,-0.2157191,-0.04893527,-0.1677668,-0.9531527,-0.2464623,-0.05109375,0,0,0,0,0.6262895,-0.7445428,-0.1697039,-0.1569018,-0.834283,0.39029,-0.3814825,0.07820935,-0.9677814,0.08861912,0.2351678,-0.01556057,-0.8252172,-0.2666494,0.3974302,-0.2999398,-0.8853374,-0.4085804,-0.2033599,0.08879554,-0.5168266,0.06877616,0.8247498,-0.2189702,-0.03082825,0.3378367,0.9104624,-0.2365884,-0.00930556,0.3305328,0.8980495,-0.2901182,0.5015469,-0.822925,-0.2619468,-0.05127581,-0.7389043,-0.2003156,-0.6336333,-0.1113693,0.6164247,0.1934282,0.7615622,0.05127715,0,0,0,0,-0.7752381,-0.5639595,-0.2828165,-0.03115026,-0.6193299,0.1575626,0.7389408,-0.2134738,-0.7694268,0.0834077,0.5933494,-0.2212739,0,0,0,0,-0.1656845,-0.9571777,-0.2321997,-0.04942409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.153349,-0.9631311,-0.2134501,-0.05745969,-0.1526227,-0.9633209,-0.21397,-0.05418643,-0.1662645,-0.9523548,-0.2502399,-0.05250134,0,0,0,0,0.6238441,-0.7457889,-0.1726355,-0.1575266,-0.8350682,0.3887692,-0.3814493,0.07756305,-0.9522865,0.08931144,0.2916662,-0.01022761,-0.7736784,-0.253567,0.4690627,-0.3422072,-0.8841809,-0.4097837,-0.2063532,0.08786219,-0.515557,0.06913341,0.825327,-0.2196747,-0.03388158,0.3365956,0.9102939,-0.2385801,0.002564357,0.2929887,0.9016905,-0.3179705,0.5015822,-0.8262014,-0.2481349,-0.06508145,-0.7361605,-0.2076347,-0.6349472,-0.1086166,0.6124375,0.2008937,0.7630805,0.04764648,0,0,0,0,-0.7754966,-0.5625748,-0.2842232,-0.03649409,-0.6227743,0.1566658,0.7358951,-0.2146312,-0.7699269,0.08323772,0.5925245,-0.221808,0,0,0,0,-0.1641349,-0.9569214,-0.2340965,-0.05059554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
