SpineBase_x, SpineBase_y, SpineBase_z, SpineBase_w,SpineMid_x, SpineMid_y, SpineMid_z, SpineMid_w,Neck_x, Neck_y, Neck_z, Neck_w,Head_x, Head_y, Head_z, Head_w,ShoulderLeft_x, ShoulderLeft_y, ShoulderLeft_z, ShoulderLeft_w,ElbowLeft_x, ElbowLeft_y, ElbowLeft_z, ElbowLeft_w,WristLeft_x, WristLeft_y, WristLeft_z, WristLeft_w,HandLeft_x, HandLeft_y, HandLeft_z, HandLeft_w,ShoulderRight_x, ShoulderRight_y, ShoulderRight_z, ShoulderRight_w,ElbowRight_x, ElbowRight_y, ElbowRight_z, ElbowRight_w,WristRight_x, WristRight_y, WristRight_z, WristRight_w,HandRight_x, HandRight_y, HandRight_z, HandRight_w,HipLeft_x, HipLeft_y, HipLeft_z, HipLeft_w,KneeLeft_x, KneeLeft_y, KneeLeft_z, KneeLeft_w,AnkleLeft_x, AnkleLeft_y, AnkleLeft_z, AnkleLeft_w,FootLeft_x, FootLeft_y, FootLeft_z, FootLeft_w,HipRight_x, HipRight_y, HipRight_z, HipRight_w,KneeRight_x, KneeRight_y, KneeRight_z, KneeRight_w,AnkleRight_x, AnkleRight_y, AnkleRight_z, AnkleRight_w,FootRight_x, FootRight_y, FootRight_z, FootRight_w,SpineShoulder_x, SpineShoulder_y, SpineShoulder_z, SpineShoulder_w,HandTipLeft_x, HandTipLeft_y, HandTipLeft_z, HandTipLeft_w,ThumbLeft_x, ThumbLeft_y, ThumbLeft_z, ThumbLeft_w,HandTipRight_x, HandTipRight_y, HandTipRight_z, HandTipRight_w,ThumbRight_x, ThumbRight_y, ThumbRight_z, ThumbRight_w,
-0.258258,-0.9323851,-0.2092539,-0.1420338,-0.2575976,-0.9328279,-0.2100664,-0.139096,-0.2575055,-0.9193431,-0.2587977,-0.1467066,0,0,0,0,0.5866736,-0.7746643,-0.09571753,-0.2157486,0.01536879,-0.4132752,0.66443,0.6224952,0.3924723,-0.7179317,0.4866196,0.3061714,0.3184548,-0.7688361,0.4697631,0.2946188,-0.9003755,-0.3339846,-0.2784958,0.01477516,-0.9606518,0.2762938,0.02687785,0.00935505,0.4388791,-0.5333692,0.4291056,0.5820403,-0.004016916,-0.7522038,0.6579415,0.03586697,0.4426061,-0.8538888,-0.2518306,-0.1074952,0.6076775,-0.1529191,0.777988,0.04559103,0.614135,-0.1928735,0.76522,0.008730548,0,0,0,0,-0.7652661,-0.5359644,-0.3099912,-0.1761119,-0.7666067,0.004055867,0.6420473,-0.008539727,-0.7881485,-0.0298911,0.6145639,0.0154871,0,0,0,0,-0.257854,-0.9268436,-0.2336241,-0.1410394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.257998,-0.9324851,-0.2090373,-0.1421688,-0.2573262,-0.9329363,-0.2098638,-0.139177,-0.2574241,-0.9193677,-0.2587917,-0.1467065,0,0,0,0,0.5866736,-0.7746713,-0.09567131,-0.2157436,0.01396345,-0.412387,0.6651941,0.6223013,0.3858687,-0.7142999,0.4908104,0.3162062,0.3191866,-0.7582271,0.4834995,0.2990649,-0.900363,-0.334056,-0.2784489,0.01481186,-0.9606585,0.2762941,0.02675145,0.00901251,0.4353153,-0.5285758,0.4328219,0.5863219,-0.009206037,-0.7435271,0.667174,0.04428937,0.4429259,-0.8537878,-0.2516879,-0.1073138,0.607491,-0.1529966,0.7781184,0.04559132,0.6142526,-0.1926199,0.7651848,0.009144516,0,0,0,0,-0.7650924,-0.5361245,-0.3099907,-0.17638,-0.7669638,0.004001056,0.6416286,-0.007958979,-0.7879703,-0.02969668,0.6148027,0.01544447,0,0,0,0,-0.2577465,-0.9268867,-0.2335714,-0.1410402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2579361,-0.9324934,-0.209017,-0.1422569,-0.2572519,-0.9329532,-0.2098586,-0.1392096,-0.2573242,-0.919395,-0.2588063,-0.1466849,0,0,0,0,0.5866231,-0.7747015,-0.09576123,-0.215733,-0.007013991,-0.3926656,0.665333,0.6348989,0.378499,-0.7153314,0.4910742,0.3223129,0.3328072,-0.7419463,0.4986548,0.3001639,-0.9003216,-0.3341624,-0.2784539,0.01482942,-0.9604484,0.2772269,0.02532314,0.006545109,0.4430975,-0.5297644,0.4356934,0.5772223,-0.01223793,-0.7511387,0.6590034,0.03681651,0.4426603,-0.8539149,-0.2518036,-0.1071265,0.6074021,-0.1529898,0.7781916,0.04554902,0.6142738,-0.1926329,0.7651638,0.009197898,0,0,0,0,-0.765116,-0.5360005,-0.3101012,-0.1764596,-0.7669588,0.004078373,0.6416315,-0.008162403,-0.7880865,-0.03103198,0.6145531,0.01676799,0,0,0,0,-0.2576816,-0.9269057,-0.2335864,-0.1410091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2578921,-0.9324714,-0.208976,-0.1425409,-0.257163,-0.9329619,-0.2098726,-0.1392938,-0.2572533,-0.9194238,-0.2588583,-0.146537,0,0,0,0,0.5867828,-0.7745863,-0.0959933,-0.2156093,-0.02176061,-0.3788751,0.6648943,0.6433473,0.3732117,-0.7163994,0.4911648,0.3259479,0.3393968,-0.7306945,0.5119743,0.2979558,-0.9003137,-0.3341994,-0.2784351,0.01483737,-0.9617352,0.2725587,0.02691071,0.007280773,0.4283858,-0.5327683,0.4260163,0.5925823,-0.01037388,-0.7459489,0.6645862,0.04216457,0.4425345,-0.8539951,-0.251748,-0.1071377,0.6071972,-0.1528947,0.7783667,0.04560702,0.6143433,-0.192782,0.7650679,0.009408573,0,0,0,0,-0.7650719,-0.5358866,-0.3102684,-0.1767032,-0.7673052,0.003981994,0.6412221,-0.007814524,-0.7874923,-0.03167293,0.6153063,0.0158395,0,0,0,0,-0.257577,-0.9269355,-0.233662,-0.1408789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2569697,-0.9326912,-0.2093484,-0.1422216,-0.2562284,-0.9331879,-0.2102551,-0.1389251,-0.2569151,-0.9195653,-0.2590788,-0.1458506,0,0,0,0,0.5888688,-0.7731884,-0.09682457,-0.2145655,-0.02039121,-0.3803123,0.6637742,0.6437008,0.3873762,-0.7258092,0.4800139,0.3045117,0.368679,-0.7290525,0.5041102,0.2800557,-0.9007532,-0.3332119,-0.2782158,0.01447945,-0.9633979,0.2668695,0.02540145,8.947263E-05,0.4213878,-0.5404459,0.4180016,0.5963433,-0.01498847,-0.7430531,0.6666161,0.05718767,0.4431104,-0.8534145,-0.2531813,-0.1060003,0.6078213,-0.1589576,0.7762104,0.0527546,0.6149859,-0.1873572,0.7659507,0.003022176,0,0,0,0,-0.7640008,-0.5369423,-0.310597,-0.1775535,-0.7673132,0.001498941,0.6411939,-0.009931333,-0.7899587,-0.02316633,0.6125505,0.01451021,0,0,0,0,-0.2568763,-0.9271423,-0.2339389,-0.1403369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2568851,-0.9326024,-0.2094751,-0.1427691,-0.255491,-0.9335282,-0.2111731,-0.1365845,-0.255339,-0.9203989,-0.2606142,-0.1405285,0,0,0,0,0.5935259,-0.7701265,-0.1053465,-0.2086489,-0.01411381,-0.3873751,0.6604888,0.6430364,0.3614218,-0.7090934,0.5001319,0.3412168,0.3509318,-0.7052826,0.5278983,0.3174064,-0.9016066,-0.3324917,-0.2763498,0.01362426,-0.9634838,0.2665709,0.02527403,-0.0005305908,0.417345,-0.5362357,0.4207292,0.6010501,-0.01389818,-0.7423456,0.6682857,0.0460888,0.4413635,-0.854275,-0.2534964,-0.1056027,0.6070461,-0.1632127,0.7757141,0.05589493,0.6183048,-0.1828796,0.7643644,-0.001173546,0,0,0,0,-0.7644891,-0.5357304,-0.3114339,-0.1776473,-0.767926,-1.910185E-05,0.6404473,-0.01082082,-0.7894714,-0.01927276,0.6133352,0.01354831,0,0,0,0,-0.2552365,-0.92796,-0.2355855,-0.1350704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2563522,-0.9327933,-0.2097156,-0.1421252,-0.2545779,-0.9339565,-0.2118658,-0.1342692,-0.2540487,-0.9210425,-0.2617692,-0.1364436,0,0,0,0,0.5972774,-0.7675678,-0.1118905,-0.2039117,0.05259041,-0.4511813,0.6564596,0.6022711,0.3911308,-0.7135673,0.4939555,0.3063438,0.3829026,-0.7266214,0.4737488,0.3177562,-0.9025295,-0.3313345,-0.2747598,0.01284783,-0.9646324,0.2624138,0.02475188,-0.003264813,0.4076853,-0.5293633,0.4242951,0.6111799,-0.007299919,-0.7280276,0.6834118,0.05358182,0.4385424,-0.8556048,-0.2545788,-0.1039745,0.6075649,-0.1651185,0.7747738,0.05767393,0.6207456,-0.1806007,0.7629176,-0.003874177,0,0,0,0,-0.7656068,-0.5340906,-0.312208,-0.1764075,-0.7666004,-0.0003294093,0.6419656,-0.0142758,-0.7903309,-0.01837797,0.6122206,0.01500776,0,0,0,0,-0.2536845,-0.9286556,-0.2367656,-0.1310912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2563216,-0.9327436,-0.2098097,-0.1423674,-0.254434,-0.9339801,-0.2120948,-0.1340158,-0.2537467,-0.9211594,-0.2620578,-0.1356605,0,0,0,0,0.5984711,-0.7666957,-0.1130468,-0.2030529,0.07122125,-0.4676832,0.6546311,0.5896253,0.4115052,-0.7225503,0.4797998,0.2799585,0.4070182,-0.7338687,0.4573232,0.2943272,-0.9027779,-0.3308691,-0.2745077,0.01277412,-0.9646184,0.2624789,0.02473349,-0.002123416,0.4156438,-0.5337291,0.4232104,0.6027159,-0.001845686,-0.7402307,0.6713849,0.03601955,0.4371558,-0.8562959,-0.2547606,-0.1036781,0.6075879,-0.1648725,0.7747691,0.0581974,0.6210803,-0.1806355,0.7626338,-0.00443382,0,0,0,0,-0.7662162,-0.5329893,-0.3127847,-0.1760709,-0.7662976,-0.0001200254,0.6422951,-0.01565627,-0.7912451,-0.01825768,0.6110037,0.01650473,0,0,0,0,-0.2533295,-0.9287593,-0.2371477,-0.1303509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2563638,-0.9326841,-0.2097846,-0.1427189,-0.2543812,-0.9339839,-0.2121842,-0.1339487,-0.2534952,-0.9212317,-0.2622919,-0.1351862,0,0,0,0,0.5991298,-0.7662219,-0.1141914,-0.2022571,0.1017642,-0.4931674,0.6514139,0.5675299,0.4135437,-0.7176145,0.4827005,0.2846247,0.4248334,-0.719019,0.4564565,0.306881,-0.9030449,-0.3302275,-0.274421,0.01236548,-0.9664343,0.2539869,0.0384915,-0.003728194,0.09325006,-0.808269,0.04949104,0.5792722,0.1645614,-0.7947451,-0.05771064,0.5813512,0.4359744,-0.8569158,-0.2547844,-0.1034723,0.6075535,-0.164417,0.7748527,0.05872895,0.6212773,-0.1809709,0.762391,-0.004912642,0,0,0,0,-0.7667561,-0.5319753,-0.3132639,-0.1759351,-0.7660888,-0.000695873,0.6424853,-0.01789306,-0.7944923,-0.01576609,0.6067309,0.02027235,0,0,0,0,-0.2530669,-0.9288267,-0.237415,-0.1298931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.2566004,-0.9325027,-0.2094613,-0.1439482,-0.254478,-0.9339049,-0.2120347,-0.1345502,-0.2533812,-0.9212216,-0.262439,-0.135183,0,0,0,0,0.5993012,-0.7660847,-0.1145407,-0.2020713,0.1235387,-0.5088758,0.6496391,0.5511376,0.421586,-0.7160915,0.4800099,0.2811915,0.4431611,-0.7097395,0.4533348,0.3071901,-0.9031693,-0.3298237,-0.2745071,0.01214376,-0.9666187,0.2533203,0.03816078,-0.004582928,0.09925816,-0.900713,0.03204674,0.4217072,0.05687082,-0.8286957,-0.3445174,0.4374208,0.4355376,-0.8573233,-0.2538927,-0.1041263,0.6065626,-0.1646493,0.7755306,0.05936908,0.6214442,-0.1801936,0.7624346,-0.005539601,0,0,0,0,-0.7666928,-0.5316346,-0.3135559,-0.1767186,-0.767143,-0.001160235,0.641223,-0.01798,-0.7950112,-0.01510795,0.6060499,0.02079725,0,0,0,0,-0.2529674,-0.9288216,-0.2375452,-0.1298857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
